timestamp,sales,customers,average_order_value,customer_satisfaction
2024-10-12T00:00:00,2980,119,102.14,4.2
2024-10-12T00:00:01,3065,120,92.7,4.4
2024-10-12T00:00:02,3051,112,107.3,4.3
2024-10-12T00:00:03,3057,114,104.09,4.4
2024-10-12T00:00:04,3110,130,102.44,4.4
2024-10-12T00:00:05,3184,136,93.75,4.3
2024-10-12T00:00:06,3358,119,98.1,4.4
2024-10-12T00:00:07,3371,136,97.19,4.3
2024-10-12T00:00:08,3407,137,95.74,4.4
2024-10-12T00:00:09,3343,131,94.61,4.3
2024-10-12T00:00:10,3431,137,92.5,4.5
2024-10-12T00:00:11,3346,128,99.4,4.5
2024-10-12T00:00:12,3553,139,94.28,4.5
2024-10-12T00:00:13,3449,135,106.06,4.4
2024-10-12T00:00:14,3540,128,107.14,4.5
2024-10-12T00:00:15,3435,127,103.74,4.5
2024-10-12T00:00:16,3482,142,93.38,4.5
2024-10-12T00:00:17,3505,133,91.06,4.4
2024-10-12T00:00:18,3576,144,94.27,4.4
2024-10-12T00:00:19,3380,134,106.16,4.6
2024-10-12T00:00:20,3391,141,98.81,4.4
2024-10-12T00:00:21,3381,140,104.95,4.4
2024-10-12T00:00:22,3474,138,106.45,4.5
2024-10-12T00:00:23,3355,138,110.94,4.6
2024-10-12T00:00:24,3385,149,97.85,4.5
2024-10-12T00:00:25,3295,144,96.11,4.6
2024-10-12T00:00:26,3314,139,101.68,4.5
2024-10-12T00:00:27,3300,137,107.04,4.6
2024-10-12T00:00:28,3237,144,104.42,4.5
2024-10-12T00:00:29,3081,131,95.0,4.7
2024-10-12T00:00:30,2996,131,101.41,4.5
2024-10-12T00:00:31,2950,132,109.55,4.7
2024-10-12T00:00:32,2978,135,92.57,4.7
2024-10-12T00:00:33,2871,140,93.11,4.6
2024-10-12T00:00:34,2855,132,93.04,4.7
2024-10-12T00:00:35,2807,139,108.94,4.7
2024-10-12T00:00:36,2823,133,96.92,4.8
2024-10-12T00:00:37,2731,129,95.71,4.7
2024-10-12T00:00:38,2768,133,92.6,4.8
2024-10-12T00:00:39,2663,128,107.79,4.6
2024-10-12T00:00:40,2540,125,105.91,4.7
2024-10-12T00:00:41,2683,117,101.22,4.8
2024-10-12T00:00:42,2556,135,101.0,4.8
2024-10-12T00:00:43,2504,126,106.05,4.7
2024-10-12T00:00:44,2469,131,105.44,4.7
2024-10-12T00:00:45,2542,125,94.28,4.8
2024-10-12T00:00:46,2549,129,95.48,4.8
2024-10-12T00:00:47,2545,129,100.85,4.8
2024-10-12T00:00:48,2412,122,109.79,4.9
2024-10-12T00:00:49,2417,117,95.15,4.8
2024-10-12T00:00:50,2492,126,111.76,4.8
2024-10-12T00:00:51,2480,119,95.02,4.7
2024-10-12T00:00:52,2599,117,101.71,4.7
2024-10-12T00:00:53,2652,112,106.25,4.9
2024-10-12T00:00:54,2677,118,112.29,4.8
2024-10-12T00:00:55,2613,111,103.78,4.8
2024-10-12T00:00:56,2584,107,97.4,4.9
2024-10-12T00:00:57,2632,100,97.22,4.8
2024-10-12T00:00:58,2816,100,99.11,4.9
2024-10-12T00:00:59,2829,106,111.13,4.9
2024-10-12T00:01:00,2941,98,108.82,4.8
2024-10-12T00:01:01,2913,98,97.85,4.9
2024-10-12T00:01:02,2890,113,102.4,4.9
2024-10-12T00:01:03,3061,92,100.2,5.0
2024-10-12T00:01:04,3135,95,109.57,4.9
2024-10-12T00:01:05,3027,101,98.93,4.9
2024-10-12T00:01:06,3205,106,107.8,5.0
2024-10-12T00:01:07,3290,98,94.8,5.0
2024-10-12T00:01:08,3285,91,93.78,5.0
2024-10-12T00:01:09,3271,101,97.46,5.0
2024-10-12T00:01:10,3323,106,113.49,5.0
2024-10-12T00:01:11,3277,101,107.77,5.0
2024-10-12T00:01:12,3336,93,107.48,5.0
2024-10-12T00:01:13,3516,98,99.2,4.9
2024-10-12T00:01:14,3396,104,94.14,5.0
2024-10-12T00:01:15,3381,107,101.11,5.0
2024-10-12T00:01:16,3491,96,96.98,5.0
2024-10-12T00:01:17,3534,103,101.68,5.0
2024-10-12T00:01:18,3585,92,102.42,5.0
2024-10-12T00:01:19,3526,107,95.34,5.0
2024-10-12T00:01:20,3549,93,95.53,5.0
2024-10-12T00:01:21,3524,101,98.44,5.0
2024-10-12T00:01:22,3379,95,105.44,5.0
2024-10-12T00:01:23,3524,102,108.72,5.0
2024-10-12T00:01:24,3478,110,101.86,5.0
2024-10-12T00:01:25,3361,102,96.52,5.0
2024-10-12T00:01:26,3421,105,95.72,5.0
2024-10-12T00:01:27,3232,104,103.34,5.0
2024-10-12T00:01:28,3240,116,111.1,5.0
2024-10-12T00:01:29,3239,104,108.97,5.0
2024-10-12T00:01:30,3166,113,98.67,5.0
2024-10-12T00:01:31,3165,117,111.6,5.0
2024-10-12T00:01:32,3061,117,98.97,5.0
2024-10-12T00:01:33,3056,119,99.37,5.0
2024-10-12T00:01:34,2929,121,96.21,5.0
2024-10-12T00:01:35,2995,129,99.01,5.0
2024-10-12T00:01:36,2942,126,98.08,5.0
2024-10-12T00:01:37,2915,116,113.58,5.0
2024-10-12T00:01:38,2883,114,103.84,5.0
2024-10-12T00:01:39,2686,128,110.8,5.0
2024-10-12T00:01:40,2773,131,106.53,5.0
2024-10-12T00:01:41,2732,119,110.66,5.0
2024-10-12T00:01:42,2719,122,104.14,5.0
2024-10-12T00:01:43,2708,140,101.28,5.0
2024-10-12T00:01:44,2665,126,101.9,5.0
2024-10-12T00:01:45,2571,136,99.98,5.0
2024-10-12T00:01:46,2558,135,102.63,5.0
