timestamp,sales,customers,average_order_value,customer_satisfaction
2024-10-12 00:00:00,2907,130,100.16,4.2
2024-10-12 00:00:01,3053,120,109.86,4.2
2024-10-12 00:00:02,3176,128,103.19,4.4
2024-10-12 00:00:03,3141,130,103.57,4.3
2024-10-12 00:00:04,3157,119,98.36,4.4
2024-10-12 00:00:05,3328,128,108.69,4.3
2024-10-12 00:00:06,3324,126,101.71,4.3
2024-10-12 00:00:07,3364,132,107.88,4.3
2024-10-12 00:00:08,3347,126,101.2,4.4
2024-10-12 00:00:09,3352,135,95.61,4.4
2024-10-12 00:00:10,3466,128,93.23,4.3
2024-10-12 00:00:11,3386,126,91.92,4.4
2024-10-12 00:00:12,3371,144,103.8,4.3
2024-10-12 00:00:13,3454,133,109.73,4.4
2024-10-12 00:00:14,3399,133,98.49,4.4
2024-10-12 00:00:15,3525,145,97.13,4.5
2024-10-12 00:00:16,3537,147,96.33,4.4
2024-10-12 00:00:17,3559,129,96.08,4.4
2024-10-12 00:00:18,3517,135,109.07,4.4
2024-10-12 00:00:19,3473,134,100.92,4.5
2024-10-12 00:00:20,3502,130,101.87,4.6
2024-10-12 00:00:21,3334,137,95.34,4.5
2024-10-12 00:00:22,3410,136,109.06,4.5
2024-10-12 00:00:23,3381,137,100.06,4.5
2024-10-12 00:00:24,3432,134,103.95,4.5
2024-10-12 00:00:25,3268,144,111.21,4.5
2024-10-12 00:00:26,3159,144,91.77,4.6
2024-10-12 00:00:27,3124,138,102.34,4.5
2024-10-12 00:00:28,3073,137,105.53,4.6
2024-10-12 00:00:29,3140,138,95.02,4.6
2024-10-12 00:00:30,3076,142,99.17,4.5
2024-10-12 00:00:31,3023,141,96.47,4.7
2024-10-12 00:00:32,3067,130,100.66,4.7
2024-10-12 00:00:33,2880,142,107.89,4.6
2024-10-12 00:00:34,2913,130,105.29,4.7
2024-10-12 00:00:35,2915,125,92.43,4.6
2024-10-12 00:00:36,2705,138,97.14,4.6
2024-10-12 00:00:37,2774,139,110.8,4.6
2024-10-12 00:00:38,2611,125,103.82,4.7
2024-10-12 00:00:39,2665,128,100.53,4.8
2024-10-12 00:00:40,2650,121,96.18,4.8
2024-10-12 00:00:41,2492,133,102.62,4.7
2024-10-12 00:00:42,2524,123,96.09,4.8
2024-10-12 00:00:43,2535,120,104.45,4.6
2024-10-12 00:00:44,2544,131,100.3,4.7
2024-10-12 00:00:45,2420,114,110.03,4.8
2024-10-12 00:00:46,2466,117,97.21,4.7
2024-10-12 00:00:47,2588,111,96.17,4.7
2024-10-12 00:00:48,2404,116,96.05,4.8
2024-10-12 00:00:49,2519,115,94.16,4.8
2024-10-12 00:00:50,2598,124,103.86,4.8
2024-10-12 00:00:51,2542,121,97.57,4.8
2024-10-12 00:00:52,2557,123,110.68,4.9
2024-10-12 00:00:53,2608,113,99.07,4.8
2024-10-12 00:00:54,2584,119,105.37,4.8
2024-10-12 00:00:55,2628,108,99.58,4.9
2024-10-12 00:00:56,2779,103,96.69,4.9
2024-10-12 00:00:57,2723,108,107.14,4.9
2024-10-12 00:00:58,2746,115,104.39,4.8
2024-10-12 00:00:59,2912,105,101.74,4.9
2024-10-12 00:01:00,2900,111,107.19,4.9
2024-10-12 00:01:01,2983,114,98.11,4.8
2024-10-12 00:01:02,2980,100,94.51,5.0
2024-10-12 00:01:03,2908,103,110.2,5.0
2024-10-12 00:01:04,3118,97,109.11,4.9
2024-10-12 00:01:05,3060,97,106.15,5.0
2024-10-12 00:01:06,3078,106,112.79,5.0
2024-10-12 00:01:07,3157,108,112.94,4.9
2024-10-12 00:01:08,3184,103,110.56,4.9
2024-10-12 00:01:09,3354,110,105.21,5.0
2024-10-12 00:01:10,3283,105,98.72,5.0
2024-10-12 00:01:11,3312,102,109.71,4.9
2024-10-12 00:01:12,3403,107,106.39,5.0
2024-10-12 00:01:13,3336,98,98.47,5.0
2024-10-12 00:01:14,3451,93,113.32,5.0
2024-10-12 00:01:15,3466,97,94.13,5.0
2024-10-12 00:01:16,3547,102,107.4,5.0
2024-10-12 00:01:17,3545,109,99.13,5.0
2024-10-12 00:01:18,3504,93,101.9,5.0
2024-10-12 00:01:19,3465,96,107.53,5.0
2024-10-12 00:01:20,3582,98,109.84,5.0
2024-10-12 00:01:21,3508,102,101.11,5.0
2024-10-12 00:01:22,3544,95,99.95,5.0
2024-10-12 00:01:23,3518,103,113.53,5.0
2024-10-12 00:01:24,3469,98,99.51,5.0
2024-10-12 00:01:25,3384,103,109.76,5.0
2024-10-12 00:01:26,3305,105,113.55,5.0
